color,l,a,b,parent
喜蛋红,46.79861803,62.23691999,6.933584309,红
嘉陵水绿,82.52802956,-19.25307856,14.79023625,白
土布色,73.71,8.686,29.76,黄
土红,43.71,26.898,11.804,红
土耳其玉绿,74.00805438,-20.33928369,-11.54556974,碧
地籁,83.509,1.757,15.081,白
地血,37.717,29.005,-5.26,紫
垂丝海棠红,71.59707527,44.77461186,-7.753099651,红
垩灰,52.46536534,-4.383588031,-4.374538047,青
墨灰,47.371,-1.842,-6.005,青
墨紫,17.42245993,26.11173784,-10.03478097,紫
墨黪,35.157,0.53,6.759,黑
夏云灰,49.9102624,-4.92290967,-5.874393451,青
夏籥,74.06,9.967,13.977,白
夕岚,75.899,21.496,1.547,白
夕阳红,56.55923023,62.91106209,34.94502703,赤
夜灰,52.489,1.565,5.456,青
夜绿色,52.021,-8.599,7.503,绿
大云,52.168,5.247,26.576,流黄
大块,69.702,3.201,22.38,绿
大理石灰,81.84912423,1.475586886,-7.274814422,白
大理石色,70.684,-6.133,4.82,碧
大紫,29.2,21,-7.8,紫
大繎,29.653,40.625,21.417,红
大红官绿色,64.79,-12.25,-2.04,碧
大绿,33.1,-29.4,11.3,绿
大豆黄,85.13613146,4.755106601,64.28341776,黄
大赤,62.373,-2.422,42.707,流黄
大赤金,67.509,-7.783,29.912,绿
天兰,68,-19,-25,青
天水碧,65.0185,-19.7085,-7.504,碧
天球,88.305,-3.893,12.388,白
天缥,91.233,-9.101,2.377,白
太一余粮,74.549,1.398,48.643,黄
太师青,40.472,-8.088,-4.089,青
夹竹桃红,57.31465062,50.01259156,5.42320832,红
女贞黄,93.425,-6.612,32.634,白
奶棕,67.488,7.933,8.75,白
奶绿,79.772,-10.359,8.296,白
奶黄,83.5,-2.5,70,黄
如梦令,78.002,7.242,21.765,白
妃红,43.255,37.159,21.29,红
姚黄,81.37235004,-11.67909463,35.95377421,黄
姜红,65.70910573,20.82009593,0.990238274,紫
媚蝶,54.156,26.314,42.949,赤
嫣红,59.824,41.763,11.648,红
嫩姜黄,75.286,-0.899,60.312,黄
嫩灰,52.03022511,0.334603718,-3.979879341,青
嫩草绿,65.584,-14.742,41.767,黄
嫩荷绿,84.92377881,-22.35779174,18.77042227,绿
嫩菊绿,93.97866533,-6.163410199,5.716582064,白
嫩菱红,57.06417782,54.75118508,-2.890863663,红
嫩葱绿,58.9895,-17.476,6.5565,碧
嫩鹅黄,83.6495,-3.2965,54.494,黄
嫩黄,87.06666667,-2.9,52.66666667,黄
孟加拉玫瑰红,53.56403869,33.71402352,2.173675805,红
安安蓝,44.80863464,5.986637139,-34.34947679,青
官绿,40.30666667,-28.224,10.76133333,绿
宝石红,40.224,60.233,43.086,赤
宝石绿,63.74827412,-49.20800019,33.87977323,绿
宫殿绿,52.11040413,-39.72301297,13.75727004,绿
宵蓝,64.20562658,4.886783709,-32.92346448,青
密陀僧,68.933,10.60166667,41.29,黄
富春纺色,85.998,2.212,26.6,白
射干,43.33,5.641,23.852,流黄
将校呢,40.122,-0.343,12.653,黑
小红,58.933,35.2845,26.564,赤
小鸡黄,82.433,-3.532,37.12,黄
少艾,90.787,-15.179,39.427,黄
尖晶玉红,47.16016655,56.89744571,17.45431862,红
尘灰,67.04613504,1.918332025,18.2272122,绿
尼罗蓝,51.6637854,2.75302183,-41.75210695,青
山岚,82.178,-10.993,9.127,白
山梗紫,52.2295,10.496,-25.184,紫
山矾,95.965,0.49,0.716,白
山茶红,60.81249994,60.24772325,18.26849121,红
山鸡褐,49.34914484,15.77230399,37.7511049,流黄
山鸡黄,57.69919086,4.399509785,45.01250878,流黄
山黎豆红,55.56110195,26.91702985,1.258905161,紫
岩岱赭,39.34,18.46,12.96,紫
岩石棕,46.30814956,22.84270485,31.32666112,赤
岩赭石,69.51,9.77,5.04,白
岱赭,44.899,34.8145,26.632,赤
巧格力棕,32.87557212,14.50002448,6.44645865,黑
巨吕,60.44,3.426,32.077,流黄
巴黎绿,67.17317119,-30.84821144,20.76234452,绿
帆黄,66.68471568,19.85666218,43.11640806,流黄
帝释青,21.208,3.37,-30.456,黑
库金,63.9435,12.66,47.369,流黄
庭芜绿,56.973,-26.189,24.947,绿
庭院瓦灰色,53.532,-1.247,8.688,绿
延维,35.833,23.336,-44.992,紫
弗肯红,87.768,3.641,11.231,白
彤管,72.886,25.106,4.297,红
彩绿,40,-43,0,碧
影青,80.84,-3.37,-5.109,白
战舰灰,40.72115068,0.061748363,-14.05235194,青
扁豆紫,51.47038176,31.539682,-18.26937675,紫
扁豆花红,60.83036472,59.39740137,-4.293164893,红
扁青,56.549,-19.897,-8.664,碧
扎绿,41,-17,-25,青
执大象,59.528,-4.63,13.842,绿
扶光,81.686,11.988,22.318,白
承德灰,47.0865,-0.71,2.7425,青
承德皂,41.4105,-0.299,3.615,青
报春红,62.33349397,32.36939003,1.504931949,红
拂紫绵,41.221,26.246,-17.946,紫
拉丝红,44.946,63.434,45.19,赤
指甲红,81.3064612,14.91992127,2.376085444,白
挼蓝,62.327,-4.032,-26.393,青
搪磁蓝,42.49300951,-2.293523103,-34.5522845,青
斑鸠灰,27.55189122,17.5021614,-3.968988749,黑
断肠,92.196,-6.311,20.073,白
新禾绿,74.77233405,-3.152634495,64.20375446,黄
新芽色,65.415,-5.654,36.739,流黄
方解末,83.97,1.56,7.1,白
旗红,48,62,42,赤
无花果红,75.92273978,23.55412884,6.458307216,白
昌荣,82.646,11.963,-10.197,白
明月珰,84.406,-1.252,4.571,白
明灰,62.6162694,-7.051268763,-0.197262982,碧
明绿,75.65162343,-24.64205035,20.47040953,绿
明茶褐,56.587,6.266,18.476,绿
昏黄,62.043,11.351,43.517,流黄
星灰,69.75782993,-0.021859786,-7.070788389,白
星蓝,78.49387028,-1.591665213,-16.64751935,白
星郎,83.729,-4.063,-12.034,白
春梅红,71.71755927,32.29906602,7.5028615,红
春碧,64.075,-4.754,14.165,绿
春绿,82.991,-7.558,15.192,白
春蓝,67.29,-7.196,-3.61,碧
春辰,73.992,-18.426,31.515,绿
晓灰,76.86566187,6.387730738,6.792832099,白
晚天兰,57,-21,-34,青
晚波蓝,63.30972024,-7.987481729,-4.874384591,碧
晨曦红,67.1171607,36.27493237,38.03860121,赤
普蓝,33.19266667,5.296,-39.95766667,紫
晴天兰,70,-20,-20,碧
晴山,75.102,-1.094,-18.728,白
晴山蓝,71.19534808,-1.02728595,-21.57397072,青
晴蓝,64.20381489,0.434740477,-24.02216433,青
晶石紫,18.64182518,8.678167394,-18.9200787,黑
晶红,73.56392236,36.10455593,3.728541903,红
暗橄榄绿,52.87247754,-14.07232657,5.192149054,碧
暗海水绿,38.48338435,1.530420319,32.34024476,流黄
暗灰,48.967,-1.2,0.316,青
暗灰肤色,38.55,12.51,11.13,黑
暗玉紫,31.65502154,23.97777604,9.498856007,紫
暗砖灰,43.04759374,10.31892209,5.341732047,黑
暗粉,63.392,32.318,-5.968,紫
暗紫苑红,35.23373607,34.08633942,7.948687687,紫
暗绿,42,-11,5,青
暗苔绿,44.632,-12.297,9.162,绿
暗蓝,24.01975677,-0.375823677,-14.32143283,黑
暗蓝紫,13.24360737,5.759171948,-19.05979564,黑
暗驼棕,27.99994444,19.24443253,8.882248481,黑
暗龙胆紫,21.90416847,5.316874527,-11.04451972,黑
暮云灰,41.79587538,11.3720118,-0.442433517,紫
暮山紫,70.783,6.796,-22.555,青
暮色,56.808,39.359,38.224,赤
曙红,43.23075,50.17075,34.2525,赤
曲红,61.22094969,48.35917454,32.38636002,赤
曾青,35.289,5.202,-10.701,黑
月兰,45,-16,-43,青
月季红,44.15075693,49.14654748,9.388908968,红
月影白,77.15135583,1.377893966,-5.8067265,白
月月红,47,52,5,红
月灰,71.34503026,-3.10641345,36.20298442,黄
月魄,73.739,-1.397,-0.489,白
朝霞红,23.892,44.028,28.149,赤
木兰,25.72,25.594,20.544,黑
木槿紫,58.46466667,24.55966667,-22.71833333,紫
木瓜黄,81.13854818,7.256961112,65.49793501,黄
木红,47.288,27.2905,20.729,红
朱古力色,44.864,6.067,12.914,黑
朱土,59.3,19.87,31.7,流黄
朱孔阳,39.898,60.281,27.572,赤
朱柿,61.124,46.901,44.955,赤
朱槿色,50.179,62.444,43.144,赤
朱樱,31.43,46.791,27.322,赤
朱殷,43.483,50.011,40.3,赤
朱湛,35.405,42.143,24.859,赤
朱石栗,37.143,21.009,27.363,赤
朱砂,44.746,52.06966667,40.211,赤
朱缥,64.48,54.19,51,赤
朱草,41.284,41.421,27.849,赤
朱颜酡,71.759,29.213,32.57,赤
李紫,21.31199693,19.63361356,1.177694796,黑
杏仁黄,86.0572145,8.131119573,30.19528415,黄
杏子,66.295,19.329,58.374,黄
杏棕,55,17.5,23,红
杏灰,60.5,7,13,绿
杏皮,67.5,9,18.5,白
杏红,63.606,36.623,49.747,赤
杏肉,69.5,16,20.5,红
杏色,60.5,18,21.5,红
杨妃,70.398,37.598,7.578,红
杨桃色,85.694,-14.926,50.01,黄
杨梅花红,58.1950026,42.71967748,15.73817829,红
松灰,60,0,-4,青
松绿,61.5085,-7.3165,23.644,绿
松花,86.9975,-7.765,55.2795,黄
松花绿,42.266,-28.353,15.182,绿
松花色,43.737,-56.962,23.606,绿
松霜绿,65.98789663,-12.61877108,4.630464699,碧
松鼠灰,41.14386158,3.042784373,11.17162789,黑
极光红,70.31462202,44.1731742,29.03620199,赤
枇杷黄,75.38433545,29.85882784,69.74743663,黄
果灰,69.917,-11.934,4.686,碧
果肉色,82.642,10.443,16.696,白
枝黄,77.658,-4.362,44.489,黄
枣紫,25.704,20.576,5.738,黑
枣酱,33,36,-6,紫
枫叶红,44.87483354,45.75413671,19.63192711,红
枯黄,67.4375,17.7385,37.281,流黄
枸杞红,51.57741738,55.90789295,14.25117331,红
枸枢红,52.528,68.75,45.692,赤
柏坊灰蓝,39.9305,-2.908,-17.4595,青
柏林蓝,45.65087245,0.448607175,-43.98694894,青
柔蓝,41.652,-6.106,-32.874,青
柚黄,83.10579686,-3.845750913,80.76678958,黄
柞叶棕,29.79071571,24.14051478,20.90380549,黑
柞蚕绿,56.16101872,-20.96541928,16.63242723,绿
柠檬黄,86.59166029,-2.062837821,66.06729438,黄
柳叶黄,67.27,-11.89,66.45,黄
柳绿,65.693,-19.2255,24.508,绿
柳色,58.571,-20.911,45.378,绿
柳黄,77.5645,-9.9375,45.4105,黄
柿子红,54.493,36.51,45.924,赤
柿红,55.7005014,61.03628221,42.18011714,赤
柿黄,62.3,40.5,34.9,赤
树皮色,52.272,15.182,27.045,流黄
栗子色,40.11,22.629,40.222,流黄
栗棕,25.90510746,26.79449615,15.16226764,黑
