color,l,a,b,parent
淡青莲,81.34793178,17.02357815,-13.89570045,白
淡驼,70,5,14,白
淡黄,90.766,-3.428,28.473,白
深上兰,25,2,-24,黑
深中蓝,33,4,-39,青
深咖啡,34,6,8,黑
深墨绿,29,-10.33333333,-3,黑
深大红,44,55,30,赤
深天兰,57,-17,-34,青
深孔雀兰,34,-22,-29,青
深宝兰,34,-4,-24,青
深宝石绿,54.448,-26.747,15.262,绿
深景蓝,29,5,-25,黑
深晶红,50,56,22,红
深曙红,38,51,21,红
深月兰,35,-8,-43,青
深杏,57,15,16.5,红
深杏灰,48,7,11,青
深松绿,68.634,-18.7905,-4.1905,碧
深果绿,45.5,-36,18,绿
深枣红,36.5,44,17,红
深枣酱,27,28,-2,紫
深栗色,37.638,5.935,6.107,黑
深桃红,60,54,2,红
深桔红,50,56,36,赤
深桔黄,57,56,49,赤
深毛月色,46.818,1.442,-22.818,青
深毛蓝,31.607,1.127,-16.493,黑
深水兰,55,-35,-20,碧
深海绿,31.67177005,-13.80377685,-0.985766406,黑
深湖绿,63,-35,3,碧
深灰蓝,29.6388252,-8.744041578,-8.946654536,黑
深烟,39.076,3.63,1.317,黑
深烟红,25.871,13.204,-0.917,黑
深牙妃,78,26,14,红
深牵牛紫,17.65273841,14.5713822,-10.60236529,黑
深玫瑰紫,31,35,-22,紫
深玫红,37,53,6,红
深琉璃绿,44.44041996,-20.67551353,15.68618164,绿
深瓦灰,47.307,-0.887,-5.324,青
深砖黄,47,39,39,赤
深竹月,51.508,1.177,-33.652,青
深米棕,66,28,42,赤
深米黄,83,10,45,黄
深紫,29.4,15.4,-22.9,紫
深紫罗兰,28,21,-34,紫
深紫酱,28,22,5,黑
深红,43.15,51.95,14.45,红
深红莲,37,46,-21,紫
深绿,41.947,-27.8175,17.7015,绿
深翠绿,43,-32.5,1,碧
深肉色,75,31,35,赤
深艳兰,32,5,-31,紫
深芍药红,53,42,-1,红
深芍药绯红,48,52,-11,紫
深芦灰,43.77412622,11.90905219,-4.403062852,紫
深芽绿,60.239,-15.311,45.896,流黄
深茄紫,35,31,-34,紫
深蔷薇红,55,58,-3,红
深虹兰,51,-7,-37,青
深蚧青,32.5,-11.5,-17.5,青
深蛋青,35,-29,-20,青
深蝶兰,49,-31,-14,青
深褐色,30.274,1.834,6.053,黑
深西红,50,56,27,赤
深豆花紫,48,24,-22,紫
深赭红,40,40,19,红
深釉红,31.753,15.958,7.257,黑
深金驼,41,5,16,黑
深铁灰,26,-3,-4,黑
深铬绿,33.66676676,-10.41928816,3.312994733,黑
深银灰,71.556,-2.603,11.148,白
深锈红,38,25,14,红
深雪青,38,30,-26,紫
深青,61.05,-13.45,-27.5,青
深青莲,36.5,31,-30.5,紫
深香叶红,54,57,16,红
深黄,64.8,25.1,59.5,流黄
深鼻烟,38,9,10,黑
清水蓝,78.20494301,-16.25388306,-9.285601048,碧
渌波,70.741,-14.337,12.476,碧
渥赭,59.271,46,12.466,红
湖兰,74,-25,-7,碧
湖水蓝,82.15465224,-7.196083241,-12.91226831,白
湖蓝,80.7,-18.1,-4.2,碧
湖蓝灰,51.036,-5.592,-8.071,青
湛蓝,35.74,11.794,-37.834,紫
溶溶月,77.97,-2.489,2.529,白
满江红,46.1475507,32.53965283,8.73209856,红
漂净肤色,83.92,23.7,19.4,白
漆姑,50.866,-23.435,22.889,绿
潭水绿,39.33912733,-2.802818819,25.63627295,绿
潮蓝,58.74289907,-3.476354384,-33.54802834,青
濯绛,45.374,5.34,6.994,青
瀑布蓝,72.51879863,-21.41761131,-17.42390057,碧
火山棕,26.84487598,15.79746214,8.282056098,黑
火岩棕,36.81092537,30.38965864,20.21928619,红
火泥棕,48.53280089,21.84891253,23.62098865,赤
火焰红,40.771,59.726,41.579,赤
火砖红,56.35044974,37.07479773,37.11825556,赤
火鸡紫,37.20715394,29.9866856,-7.473246024,紫
火鹅紫,11.262,16.986,0.359,黑
灯草灰,25.8995,0.4815,0.777,黑
灰,44.33333333,-1.666666667,-5,青
灰白色,87.11443579,1.458064303,2.163156877,白
灰米,69.275,-3.427,16.66,绿
灰肤色,39.78,15.13,13.78,黑
灰色,51.27233333,0.002,0.276,青
灰黄,66.4,6.1,27.7,流黄
灰鼠色,55.802,0.824,-3.138,青
炒米黄,81.65775882,5.064641698,34.52740703,黄
烟墨,34.846,5.756,-1.849,黑
烟栗色,27.9895,5.3615,5.1125,黑
烟红,49.93505451,15.93525323,0.720173579,紫
烟色,34.573,6.877,10.482,黑
烬灰,52.4568526,-7.163314765,-3.7478828,青
烹虾红,55.41472775,54.47100284,34.45810111,赤
焦茶绿,36.81336045,4.572179695,25.74412573,黑
焰蓝,71.57970028,4.71825137,-32.92139075,青
煤烟色,35.149,-8.27,-7.845,青
煤黑,21.293,3.794,4.878,黑
熟褐,46.67,15.497,19.267,红
燋茶色,42.371,-3.186,10.93,黑
燕羽灰,45.92558436,-0.405317634,12.41335102,绿
燕颔红,61.377,55.446,66.472,赤
燕颔蓝,28.51621553,0.698347977,-9.752816393,黑
爵头,20.612,35.671,20.208,红
牙妃,86,12,13,白
牙绯,51.894,41.274,19.255,红
牙绿,88.995,-13.346,37.052,黄
牙黄,88.014,-3.123,24.606,白
牛血红,38.528,55.334,42.242,赤
牛角灰,32.24513816,2.653786824,-8.691246495,黑
牡丹粉红,77.65677502,31.01376329,8.366514072,红
牡丹色,44.927,56.289,-11.489,紫
牡蛎绿,71.59692279,-16.03820631,12.70526172,碧
牵牛紫,29.75161726,40.25832795,-18.70888863,紫
牵牛花蓝,50.7518289,-7.471249441,-38.80780091,青
特元色,29,10,-4,黑
特咖啡,31.5,2.5,4.5,黑
犀角灰,40.23087902,10.61819566,5.80003648,黑
独山玉绿,55.28700922,-12.57069975,4.507458308,碧
狼烟灰,48.01059018,-5.770022214,-0.727609997,青
猩猩血,45.945,66.004,41.37,赤
猩红,42.13375,50.71525,29.5685,赤
猪肝紫,27.36780634,21.26192469,1.797493188,黑
猬灰,65.47531393,4.101282083,-11.68598221,青
猴毛灰,60.560366,6.894201607,9.829268889,绿
獭见,10.544,0.33,-9.264,黑
玄天,38.148,10.229,1.312,黑
玄校,65.896,-1.71,16.849,绿
玄色,21.56775,14.799,10.48825,黑
玄青,27.714,5.438,-8.614,黑
玉白,92.5885,-1.0405,2.1905,白
玉石蓝,49.253,-6.758,-7.244,青
玉簪绿,79.76144279,-11.93914006,0.698291562,白
玉粉红,75.95723605,16.22970981,20.91243377,白
玉红,49.56115804,43.43908771,14.53372424,红
玉绿,82.976,-21.897,7.952,碧
玉鈫蓝,42.598,-17.7,-18.224,青
玉钗蓝,46.46671131,-13.51367497,-12.91374426,青
玉頩,91.269,1.336,1.57,白
玉髓绿,67.0173556,-41.88432695,31.05317773,绿
王刍,65.28,-3.655,25.889,绿
玛瑙灰,78.15933964,4.562244188,-4.127065365,白
玛瑙粉,67.297,13.472,24.777,流黄
玛瑙红,17.014,20.945,14.627,黑
玛瑙色,50.506,23.023,27.212,赤
玫瑰灰,42.50483845,33.29435861,22.30965429,红
玫瑰粉,81.08100449,19.96477071,27.20051199,黄
玫瑰葡萄紫,25.24069997,28.63209169,-9.121829368,紫
玫红,44,60,4,红
玻璃绿,76.53155533,-7.690831721,1.771127841,白
珊瑚红,57.08250226,51.30176057,33.82430241,赤
珊瑚赫,43.125,57.374,44.101,赤
珍珠灰,89.006,0.309,4.515,白
珠子褐,70.447,6.167,8.602,白
珠母灰,44.37680852,9.8235195,8.874943011,黑
琅玕紫,54.019,48.024,-0.088,红
琉璃绿,61.650308,-39.31565449,33.66993992,绿
琉璃色,51.761,8.215333333,11.99266667,青
琉璃蓝,36.0535,-1.6535,-21.0725,青
琉璃黄,76.777,5.07,78.387,黄
琬琰,68.14,-5.427,17.75,绿
琼琚,62.159,31.497,28.193,赤
瑾瑜,15.261,-0.578,-8.445,黑
璆琳,20.926,6.02,-10.006,黑
瓜瓤粉,84.10064461,11.2978772,32.2071478,黄
瓜瓤红,67.2648015,37.90988966,31.55981423,赤
瓜皮绿,42.001,-20.931,17.78566667,绿
瓦松绿,58.39759298,-11.45672276,4.47845657,碧
瓦灰,53.274,1.559,5.44,青
瓦罐灰,38.33035301,2.077980227,-7.330892535,青
瓷白,94.809,-0.256,0.113,白
瓷秘,76.666,-7.313,21.123,白
甘石,73.464,3.909,1.404,白
甘石粉,87.8095,2.115,6.1155,白
甘草黄,80.78623577,5.046728989,41.38324022,黄
甘蓝绿,41.21690305,-7.105996092,-3.449240817,青
甘蔗紫,33.10428637,30.22609054,6.070071594,紫
田园绿,72.21385171,-31.73865878,10.51451145,碧
田螺绿,48.19837022,-6.494889085,2.648409648,青
田赤,84.103,-6.136,40.811,黄
田赤金色,77.247,4.047,37.979,黄
田鼠灰,42.66473258,3.957085277,-18.37753958,青
电气石末,26.93,-0.33,4.12,黑
电气石红,51.86157072,46.01509029,-9.602357505,紫
甸子蓝,64.04266255,-32.33163052,-22.70583903,碧
白,100,0,0,白
白屈菜绿,44.15605513,-8.917460951,2.901484231,青
白珊瑚,97.57,0.77,3.45,白
白皮松绿,85.26932165,-7.927968799,-2.001322071,白
白粉,90.573,3.198,7.865,白
白色,95.001,-0.007,-2.001,白
白芨红,67.62997507,40.09780059,-2.905805267,红
白青,73.7485,-14.0135,-2.825,碧
百灵鸟灰,72.39109559,2.155077772,11.68439353,白
百草霜,25.901,0.3225,-0.3975,黑
皦玉,93.727,-2.06,2.548,白
盈盈,88.101,15.828,-2.915,白
监德,60.751,2.507,-33.31,青
目童子,25.628,16.785,18.115,黑
相思灰,47.126,0.4305,4.5105,青
真丝绸色,85.986,4.139,22.422,白
真紫,37,27,1,紫
睛蓝,60.224,-8.566,-28.612,青
石发,54.786,-23.445,27.583,绿
石板灰,46.69198616,5.467931036,3.252175323,青
石榴裙,42.27,47.175,34.159,赤
石涅,44.562,-1.389,1.411,青
石竹紫,27.88471651,34.74529191,7.644514669,紫
石竹红,53.65826265,58.2314145,13.85113998,红
石英,75.652,7.268,-0.206,白
石莲褐,57.495,0.878,8.719,绿
石蓝,69.44,-21.816,-18.18,碧
石蕊红,81.41377216,19.61601142,1.997278736,白
石蕊蓝,71.59690012,13.04425647,-18.17254113,白
石蜜,77.914,-0.374,29.989,黄
石青,31.61433333,1.349,-29.95766667,青
砂绿,49,-21,49,流黄
砖红,38.258,28.264,22.566,红
砖青,56.5,-6.4,-8.4,青
砖黄,58,35,43,赤
砚灰,53.27228718,-7.460741729,1.942591267,青
硃膘,49.691,42.628,34.39,赤
硫化黄,80,3,44,黄
硫华黄,84.91978906,-3.724634731,66.71003469,黄
碧城,32.47,-2.459,-29.723,青
碧山,58.241,-24.02,36.804,绿
碧滋,63.796,-12.155,16.402,绿
碧玉,84.31,-16.99,18.44,白
碧玉石,60.4525,-15.152,-6.816,碧
碧落,81.991,-4.611,-18.46,白
碧蝉绿,64.84060868,-6.916077676,-1.592820843,碧
碧螺春绿,51.02204769,-4.377930478,49.21978441,流黄
碧青,65.90111287,-16.48035062,-20.37988006,青
磨石紫,29.9060128,19.84470575,-3.709536275,紫
福色,26.036,26.958,10.46,黑
禹余粮,83.696,-6.724,45.764,黄
秋波蓝,73.79964717,-5.961514673,-15.64084976,碧
秋海棠红,46.86634634,63.4027534,35.38787113,赤
秋色,45.062,8.191,26.813,流黄
秋葵黄,85.05894499,-3.863632118,55.18242442,黄
秋蓝,59.361,-4.505,-9.342,青
秋香绿,65.7,-8.7,51.9,黄
秧绿,63.71642998,-19.09915309,15.22797935,绿
穹灰,84.582,-6.539,-1.684,白
穹灰蓝,84.313698,-4.628188053,-9.140101641,白
空青,41.652,7.433,-29.071,紫
窃蓝,69.054,-0.328,-27.561,青
立德粉,91.052,-0.377,3.095,白
章丹,52.55,40.724,43.329,赤
竹月色,71.10533333,-3.614,-11.588,青
竹根青,60.4,-14.1,-12.4,青
竹篁绿,84.62261416,-14.04143189,2.652256078,白
竹绿,64.34075652,-41.22172704,1.954444879,碧
竹青,55.085,-14.72933333,22.334,绿
笋皮棕,41.217056,15.47760353,18.28919029,黑
筍皮棕,28.495,28.761,31.816,赤
筠雾,83.339,-4.378,17.896,白
篾黄,87.58167595,1.969502046,30.96524758,黄
米棕,75,19,37,黄
米汤娇,92.589,-1.535,8.73,白
米灰,77.914,-1.89,10.068,白
米红,76.651,7.955,19.311,白
米色,80.15,12.5,31.1,黄
粉,80.7,17.1,-7.8,白
粉凤仙,76.963,18.966,-2.396,白
粉团花红,71.99766971,27.58817105,1.409022408,红
粉棕,79.086,3.163,13.514,白
粉橙色,66.873,26.318,38.757,赤
粉白,92.24172217,4.253445236,5.269053475,白
粉米,83.067,16.815,0.776,白
粉紫,65.9,11.8,-27,青
粉色,94.608,-0.518,2.336,白
粉蓝,86.506,-7.365,-7.416,白
粉青,42.983,-17.595,-5.48,青
粗孔雀绿,51.172,-26.148,0.555,碧
粗晶皂,31.6335,1.4925,-2.8225,黑
粽叶绿,45.796,4.485,46.23,流黄
糙米黄,76,13,42,黄
素綦,35.102,-2.887,19.631,黑
素采,87.556,-2.269,-3.005,白
素馨黄,84.98716876,5.786601412,74.03998758,黄
紫,40.78766667,15.55133333,-15.278,紫
紫府,47.151,29.504,-8.637,紫
紫扇贝色,41.626,19.221,-5.706,紫
紫杉绿,33.62058343,-21.10681967,15.21051759,绿
紫梅,58.395,27.843,0.779,紫
紫棠,24.377,20.845,-11.039,紫
紫檀,25.319,15.331,6.1355,黑
紫檀色,23.029,13.603,9.999,黑
紫水晶,73.833,14.087,-16.062,白
紫灰,37.26777794,15.29422822,-10.32473968,紫
紫瓯,35.519,19.646,33.114,流黄
紫矿,43.348,33.988,10.864,红
紫砂色,28.66,19.046,15.936,黑
紫磨金,59.878,18.994,21.775,红
紫粉,51.8195,24.25,-11.8935,紫
紫紶,41.313,26.947,-20.862,紫
紫红,36.26666667,28.96666667,-3.733333333,紫
紫绛色,26.672,22.486,1.172,紫
紫罗兰,29,28,-34,紫
紫罗蓝,25.591,37.026,-28.866,紫
紫色,57.56,1.372,-32,青
紫花布,69.789,4.021,17.572,白
紫苑,53.797,13.017,-33.929,紫
紫茎屏风,50.205,32.413,-6.281,紫
紫荆红,53.52896256,67.21900918,1.325834444,红
紫草色,30.657,16.26,-20.884,紫
紫菂,60.939,10.118,-12.426,青
紫蒲,48.31,43.416,-24.621,紫
紫蓝,8.579,22.482,-21.008,黑
紫薄汗,69.73,17.311,-17.926,紫
紫薇花,72.686,32.123,-17.535,紫
紫藤灰,55.483,6.323,-9.89,青
紫藤色,65.061,9.386333333,-15.067,青
紫诰,39.814,15.009,0.783,紫
紫赤金色,74.022,12.893,75.137,黄
紫铜,34.4,8.866666667,7.033333333,黑
紫铜色,36.56,18.199,2.258,紫
紫黑,25.9,9.4,-8.6,黑
紫鼠,33.943,7.658,-4.461,黑
綟绶,45.655,-1.893,19.773,绿
綪茷,36.067,47.085,33.252,赤
緅絺,37.764,18.955,26.91,赤
縓缘,64.005,28.11,5.743,红
繱犗,73.516,-19.344,-2.229,碧
纁黄,47.876,41.226,30.773,赤
红,46.27666667,56.88933333,22.66133333,红
红䵂,58.47,35.148,16.215,红
红光甲基紫,41.2169516,46.90013556,-34.70787651,紫
红光甲花紫,33,28,-23,紫
红友,63.918,24.722,51.612,流黄
红咖啡,25,8,7,黑
红扇贝色,56.323,34.913,27.025,赤
红桔,55,43,36,赤
红梅,68.393,29.622,9.174,红
红梅色,68.393,29.622,9.174,红
红棕,47,25,23.5,红
红汞红,58.09125655,58.61415753,43.95846935,赤
红灰莲,56.468,26.5125,1.6905,紫
红狐色,58.515,13.197,30.925,流黄
红珊瑚,37.48,49.14,26.2,赤
红皂,40.409,0.637,-1.709,青
红紫,25.922,7.722,5.734,黑
红莲,48,41,-17,紫
红莲灰,51.828,36.324,1.076,红
红藤杖,55.646,7.549,-0.864,青
红豆沙,56,12,11,紫
红豆紫,36.7,36.7,1.8,紫
红踯躅,44.103,56.819,-3.536,红
红酱,32,40,16,红
红青,18,2,-8,黑
纯黑,21.26,0.86,0.65,黑
纯黑朱,24.31,0.71,-1.32,黑
纸棕,69.446,2.802,14.282,白
纺织娘绿,74.56285817,-20.87219718,17.16674308,绿
绀宇,25.557,5.947,-36.367,紫
绀红,42.93273238,31.27300734,30.28224746,赤
绀色,25.99833333,-0.239666667,-17.397,黑
绀蓝,27.636,9.009,-39.84,紫
绀蝶,19.574,1.898,-8.037,黑
绀青,29.609,5.9045,-21.3265,黑
练色,93.88566667,-0.073,4.271,白
织锦灰,61.223,-3.941,-1.358,青
绍衣,66.684,1.621,3.501,碧
绒蓝,41.994,-0.629,-20.784,青
结绿,38.987,-7.625,9.021,黑
绛紫,36.17,24.82033333,-3.591666667,紫
绛纱,56.08,23.137,9.479,红
绛色,40.581,55.897,38.06,赤
绞衣,49.2,-2.571,24.025,绿
绢纨,88.568,-6.811,39.191,黄
绣球绿,76.53166026,-6.888890697,4.488978,白
绮钱,86.344,-14.548,40.521,黄
绯,80.959,16.444,5.067,白
绾,54.542,14.561,8.618,紫
绿云,30.321,-4.188,6.638,黑
绿沈,52.566,-20.9555,31.64,绿
绿灰,45.62569879,-8.81360804,-0.179679825,青
绿琉璃色,49.293,-18.485,19.721,绿
绿豆褐,57.138,-1.637,17.341,绿
绿青,62.34,-14.95,29.25,绿
缁,27.107,10.436,5.066,黑
缁色,30.6325,10.772,4.2305,黑
缃叶,84.757,-6.188,65.005,黄
缊韨,41.986,27.856,31.045,赤
缙云,63.818,42.466,38.072,赤
缟,88.259,0.95,4.071,白
缟羽,94.447,0,0,白
缟色,88.195,0.861,4.813,白
缣缃,80.735,-1.725,21.687,白
缥碧,64.334,-16.112,5.317,碧
缥色,68.278,-12.573,-18.956,青
罗兰紫,24.179,41.32,28.284,赤
罗汉果色,33.542,7.612,14.082,黑
罗蓝灰,39.486,5.596,-13.572,青
美人焦橙,65.71284595,40.25183132,56.88242413,赤
美人祭,52.175,42.503,11.943,红
美蝶绿,64.61663369,-37.85204518,-6.68797415,碧
羽扇豆蓝,66.43763195,-3.336288606,-25.42707311,青
羽毛灰,79.411,-3.448,-4.02,白
翕赩,47.534,-11.066,3.831,青
翠屏绿,83.88772314,-5.591200478,7.356652701,白
翠微,48.765,-29.916,26.631,绿
翠樽,81.715,-14.994,46.873,黄
翠涛,62.282,-12.883,4.612,碧
翠缥,80.116,-29.27,70.604,黄
翠虬,40.917,-24.152,24.379,绿
翡翠色,42.5615,-49.669,6.5475,绿
老僧衣,48.319,23.694,28.308,赤
老灰,54,-1.5,-7.5,青
老绿,44.731,-16.833,13.989,绿
老茯神,57.627,5.485,47.453,流黄
老银色,76.203,-3.547,-1.695,白
肉棕,72.2,6.161,20.523,白
肉棕灰,66.655,5.365,14.759,白
肉粉,81.449,12.049,11.226,白
肉红,72.43866667,16.77933333,5.95,白
肉色,82.16138316,19.17294576,30.77275606,黄
肉黄,76.663,14.195,18.398,白
育阳染,41.705,-2.064,-8.416,青
胆矾蓝,56.67929849,-18.77066617,-23.73394067,青
胡粉,89.434,-0.297,3.935666667,白
胭脂水,51.193,43.781,-8.118,紫
胭脂紫,44.794,48.55,-2.058,红
胭脂虫,37.216,55.203,35.258,赤
舌红,73.98717618,30.57192391,13.07768213,红
艳兰,37,6,-38,紫
艳粉,47.496,47.045,-1.636,红
艳红,54.93853322,49.20009295,18.95808035,红
艳黄,71.866,18.536,69.047,黄
艾背绿,89.29033176,-7.865410322,5.40964709,白
艾褐,72.17,1.94,14.62,白
芋紫,46.50808907,22.60381025,-23.20259991,紫
芍药红,63,36,1,红
芍药绯红,68.88530077,29.60116124,-1.910115724,红
芒果棕,45.79246879,24.20772208,33.29054124,赤
芒果黄,81.00850678,-1.547335485,35.51261238,黄
芓紫,38.767,37.312,-16.046,紫
芙蓉红,62.70784051,45.97154929,46.19599938,赤
芝兰紫,82.97100412,19.92201627,-3.119576068,白
芡食白,87.24340315,4.780369819,-5.853244225,白
芥拾紫,24.498,29.608,-4.02,紫
芥花紫,40.28091193,47.32237543,-27.36762782,紫
芥菜绿,59,-12,13,绿
芥黄,68.54576236,4.839253732,63.68057383,黄
芦灰,59.32,1.0905,9.61,绿
芦穗灰,66.99111699,8.26209453,-1.196083969,白
芦苇绿,77.25347378,-23.82135035,36.83263511,绿
芦黄,79.303,5.138,19.806,白
芭蕉绿,50.94569296,-29.62562935,14.25501123,绿
芰荷,46.752,-24.644,21.273,绿
花白,77.36,-1.994,-5.322,白
芸黄,70.163,10.604,35.129,黄
芽灰,79.001,-2.521,15.963,白
苋菜紫,34.30967687,44.77063273,-9.251304204,紫
苋菜红,38.65205642,47.04609924,16.27662244,红
苍烟落照,75.191,6.429,3.48,白
苍白,81.432,-1.357,-6.496,白
苍筤,73.361,-15.019,4.203,碧
苍翠,54.125,-25.066,9.205,绿
苍艾,32.967,3.606,11.898,黑
苍苍,50.245,9.147,-39.064,紫
苍葭,74.552,-16.443,21.688,绿
苍蓝,34.61291973,-12.5684334,-13.39968567,青
苍蝇灰,36.47306822,9.394101925,-0.272527975,黑
苍青,59.932,-3.683,1.389,碧
苏勃尼青,35.399,1.277,-32.498,青
苏方,37.292,25.316,7.965,紫
苏木紫,51.57717205,11.4096492,-1.059090876,紫
苏木色,42.747,33.306,0.024,紫
苏梅,62.058,43.302,2.029,红
苔古,53.363,-8.132,11.214,绿
苔灰,46.167,-5.666,3.713,青
苔绿,51.58533994,-3.416744009,39.67760386,流黄
苕荣,61.032,46.495,49.415,赤
苦瓜绿,85.305,-16.129,38.581,黄
苷蓝绿,14.394,-3.902,0.944,黑
苹果红,64.4808725,52.06581129,28.34162841,赤
苹果绿,60.64619904,-23.06268961,32.70965817,绿
茄子色,30.705,24.57,-17.556,紫
茄紫,30.43066667,20.06933333,-13.14666667,紫
茄花紫,46,40,-8,紫
茈藐,58.46,25.916,-24.072,紫
茉莉花红,35.327,49.914,8.362,红
茉莉黄,89.98459319,-0.002189062,38.82001014,黄
茧白,83.88743585,4.628208094,-11.74547833,白
茧色,68.641,5.788,35.053,流黄
茵绿,71.5969489,-21.20454417,27.37835093,绿
茶叶末,36.617,21.629,36.047,赤
茶花紫,53,27,-18,紫
茶花红,59.45842125,57.91765909,22.78043228,红
茹藘,48.149,28.365,8.613,红
荆紫,61.68125529,33.4116145,-19.35457974,紫
荆褐,51.966,12.67433333,20.75833333,流黄
草原远绿,75.29360691,-11.19158743,-0.3705521,碧
草灰绿,53.93249442,-2.618472258,24.57943633,绿
草灰色,41.425,0.123,10.863,黑
草珠红,90.00739616,8.355803168,-1.813341952,白
草白,77.329,-4.895,11.863,白
草茉莉红,58.69011187,57.35822123,15.71275663,红
草莓红,62.95782093,47.23217673,36.86149998,赤
荔肉白,91.36741048,2.356708496,11.7123654,白
荠菜绿,42.46666923,-11.63198997,4.641402797,青
荧光白,87,3,13,白
荧光蓝,83.88724477,3.37717425,-11.70737288,白
荩箧,52.318,-2.897,24.836,绿
荷包海棠红,65.31847105,23.87818724,-5.970148377,紫
荷叶绿,41.59673907,-25.33025812,5.257969119,绿
荷花,71.8,27.8,-12,紫
荷花白,93.48596917,8.199040744,3.648629066,白
荷花红,62.293,40.873,-9.205,紫
荷茎绿,69.6225,-17.1395,17.6405,绿
荸荠紫,26.39737972,19.18646837,-12.63286206,紫
荼白,91.632,-2.439,0.579,白
莓红,51.827,43.366,14.452,红
莓莓,40.237,-14.802,13.697,绿
莓酱红,61.46586361,53.98257048,57.02546759,赤
莱阳梨黄,49.71988614,4.488084539,31.58765926,流黄
莲子白,85.59002652,2.206607835,16.41003107,白
莲灰,62.2405,4.6685,-11.402,青
莲瓣白,93.53874898,3.702998579,-12.20551244,白
莲瓣红,55.04665377,50.28995468,5.326196816,红
莴苣绿,65.33049361,-18.83607383,15.03646351,绿
莺儿,89.101,-5.069,28.694,白
莽丛绿,20.49566991,-6.058344274,-1.24868887,黑
菉竹,55.471,-20.405,15.124,绿
菊绿,82.23918206,-7.789206559,1.760164092,白
菊蕾白,86.43058906,0.234591927,15.8482917,白
菘蓝,50.397,-0.226,-13.111,青
菜头紫,39.80104343,49.36767558,-2.221564732,红
菠根红,51.80433227,51.53070736,-2.861136942,红
菠萝红,66.52659896,46.48298632,52.24560821,赤
菱锰红,63.85337762,43.34991023,-8.118149239,红
萝兰紫,64.43911017,27.21060882,-13.70572075,紫
萝卜红,53.33192528,60.65759692,39.59563333,赤
萤石绿,63.69174035,-29.63199359,24.7840439,绿
萱草色,65.849,31.541,63.55,黄
萱草黄,65.849,31.541,63.55,黄
落叶棕,35.1477539,27.13630335,17.8003293,红
落英淡粉,91.91841118,5.178835054,10.23283804,白
落霞红,46.57327147,44.94459821,43.1835229,赤
葛巾紫,35.81462601,36.7164574,-19.48404744,紫
葛花紫,20.298,27.57,11.819,黑
葡萄灰,35.993,11.915,-0.633,黑
葡萄褐,50.071,21.803,6.48,紫
葡萄酒红,29.67447689,38.39260675,-2.730111205,紫
葡萄酱紫,24.70476685,31.60426951,13.93794954,紫
葡萄青,30.12,10.62,-4.42,黑
葭灰,73.085,3.423,5.245,白
葭菼,84.581,-7.658,7.377,白
葱倩,56.125,-32.064,33.149,绿
葱油绿,43.98652244,-7.196851502,0.230193766,青
葱青,93.669,-9.956,25.714,白
葱黄,69.509,-28.502,60.543,黄
葵扇黄,83.37796899,2.365828237,39.58738724,黄
蒸栗,58.978,4.167,26.831,流黄
蒽油绿,23.299,-1.331,2.35,黑
蒿黄,80.10201828,-3.346801982,52.47183229,黄
蓝光甲基紫,43.92935041,16.70004341,-40.02084936,紫
蓝灰,46.25,-3.4,-15.1,青
蓝灰色,69.4785,-2.8025,-8.205,碧
蓝采和,27.297,0.099,-30.4,青
蓝黑,23.7,2.9,-10.2,黑
蓟粉红,80.21324818,11.16638655,-2.307573636,白
蔚蓝,66.88018209,-24.51817302,-18.27426659,碧
蔷薇红,64,49,-6,红
蔻梢绿,73.34565223,-34.58834316,15.60438086,绿
蕃茄红,42.163,39.149,24.112,红
蕈紫,49.63985103,10.41422998,-32.850711,紫
蕉月,58.835,-4.826,1.938,碧
蕉红色,40.98,51.769,25.508,红
薄荷绿,45.85335249,-27.61439736,7.431698084,绿
藏花红,52.30265732,67.07395543,1.196198849,红
藏青,32.68,3.153,-25.664,青
藏黑蓝,27.153,5.619,-10.399,黑
藕丝秋半,82.159,1.72,3.973,白
藕丝褐,59.346,12.558,4.771,紫
藕灰,59.574,-1.883,-4.269,青
藕红,80.8,17.8,8.4,白
藕色,70.73,8.6,10.7,白
藕荷紫,40,14,-11,紫
藕褐,55.8,7.7,-10.1,青
藤紫,72.22,6.28,-1.79,白
藤萝紫,58.13894021,13.29675976,-23.07825494,紫
藻绿,61.65861751,-11.5950034,8.45739783,碧
虎皮黄,73.0395486,9.532620114,62.52775626,黄
虎黄,69.5,38.5,65.5,黄
虾壳青,63.62995803,-5.880297075,-6.108885742,青
虾灰,73.981,-5.767,17.327,白
虾黄,63.883,13.61,47.206,流黄
蚌肉白,95.30348336,1.590223695,11.05005909,白
蚧青,42,-21,-18,青
蚩尤旗,46.989,32.679,14.909,红
蛇胆绿,53.07726101,-12.8533256,11.685905,绿
蛋壳黄,83.04935196,14.53205119,29.6653772,黄
蛋白石绿,59.2378798,-18.86165075,6.42490986,碧
蛋黄,75.419,9.371,53.5975,黄
蛙绿,69.36277783,-38.4052069,9.554650599,碧
蛛纲灰,57.32704855,10.46717709,4.655855822,青
蛛网灰,67.467,5.999,10.919,白
蛤粉,91.35666667,-0.393,6.475,白
蛤蜊粉,64.158,19.551,17.131,红
蛾黄,61.073,11.364,53.823,流黄
蜜合,86.099,-0.768,11.344,白
蜜合色,79.891,14.061,25.825,黄
蜜色,86,0,33,黄
蜜褐,28.934,21.767,12.469,黑
