color,from,l,a,b
金黄,国标,68.9,19.2,52.1
金黄,国标,70.3,18.9,52.4
银色,国标,76.44,-1.22,-0.88
银色,国标,76.9,-0.4,-0.6
银白,国标,79.0,0.0,-1.4
银白,国标,84.4,-0.4,-1.1
赭石,色谱_perchouli,30.684,40.058,32.479
砖褐,色谱_perchouli,21.112,28.051,18.446
枣褐,色谱_perchouli,29.517,28.188,30.276
茶褐,色谱_perchouli,28.838,10.761,22.725
鹿皮褐,色谱_perchouli,66.273,21.385,41.974
古铜褐,色谱_perchouli,26.957,13.435,25.219
山鸡褐,色谱_perchouli,47.121,14.646,43.272
麂棕,色谱_perchouli,60.433,35.286,59.725
岩石棕,色谱_perchouli,41.071,27.302,38.03
芒果棕,色谱_perchouli,38.87,31.317,41.549
铁棕,色谱_perchouli,53.821,47.028,58.145
淡可可棕,色谱_perchouli,47.032,38.505,47.844
火泥棕,色谱_perchouli,51.127,22.409,27.458
丁香棕,色谱_perchouli,30.007,23.982,27.207
筍皮棕,色谱_perchouli,28.495,28.761,31.816
椰壳棕,色谱_perchouli,34.713,31.558,32.846
淡栗棕,色谱_perchouli,28.028,21.202,20.241
可可棕,色谱_perchouli,25.5,24.967,22.129
柞叶棕,色谱_perchouli,25.978,27.156,23.485
橡树棕,色谱_perchouli,32.88,24.019,18.737
火岩棕,色谱_perchouli,32.454,35.914,29.185
暗驼棕,色谱_perchouli,22.355,22.943,15.212
火山棕,色谱_perchouli,19.294,16.142,9.289
酱棕,色谱_perchouli,20.955,26.859,16.833
棕榈绿,色谱_perchouli,31.89,1.295,33.427
桂皮淡棕,色谱_perchouli,63.893,9.379,41.022
凋叶棕,色谱_perchouli,71.685,16.804,59.249
鹿角棕,色谱_perchouli,78.84,7.066,29.362
槟榔棕,色谱_perchouli,52.645,32.131,54.377
淡松烟,色谱_perchouli,28.002,2.878,11.893
淡赭,色谱_perchouli,58.383,19.568,38.041
淡咖啡,色谱_perchouli,43.531,21.202,31.589
粉白,色谱_perchouli,95.814,0.518,8.307
粉红,色谱_perchouli,80.063,19.577,11.524
桃红,色谱_perchouli,76.651,22.844,16.418
银朱,色谱_perchouli,54.76,66.765,65.183
海棠红,色谱_perchouli,53.892,69.743,29.794
大红,色谱_perchouli,55.765,61.402,57.007
殷红,色谱_perchouli,27.428,46.106,23.922
枣红,色谱_perchouli,26.908,42.468,20.38
胭脂红,色谱_perchouli,54.253,65.643,54.898
牡丹粉红,色谱_perchouli,73.999,28.435,10.467
香叶红,色谱_perchouli,65.402,45.006,17.392
艳红,色谱_perchouli,58.285,57.395,24.274
玉红,色谱_perchouli,47.545,48.763,20.511
茶花红,色谱_perchouli,54.316,66.482,33.162
高粱红,色谱_perchouli,43.207,57.97,30.094
满江红,色谱_perchouli,45.829,35.175,12.078
鼠鼻红,色谱_perchouli,77.541,17.592,4.472
合欢红,色谱_perchouli,74.091,30.217,8.431
春梅红,色谱_perchouli,70.852,36.435,10.468
苋菜红,色谱_perchouli,36.087,54.522,29.567
烟红,色谱_perchouli,40.26,25.533,7.32
莓红,色谱_perchouli,51.827,43.366,14.452
鹅冠红,色谱_perchouli,44.925,66.647,39.401
枫叶红,色谱_perchouli,42.256,61.707,33.872
唐菖蒲红,色谱_perchouli,47.735,69.813,40.898
暗紫苑红,色谱_perchouli,29.298,42.041,18.376
殷红,色谱_perchouli,27.428,46.106,23.922
草茉莉红,色谱_perchouli,55.739,64.942,25.657
山茶红,色谱_perchouli,57.605,59.847,20.457
海棠红,色谱_perchouli,53.892,69.743,29.794
蓟粉红,色谱_perchouli,85.867,7.427,1.033
