color,from,l,a,b
闪蝶紫,DIC中国传统色,61.917,7.047,-18.951
枣紫,DIC中国传统色,25.704,20.576,5.738
紫扇贝色,DIC中国传统色,41.626,19.221,-5.706
大赤金,DIC中国传统色,67.509,-7.783,29.912
库金,DIC中国传统色,62.526,-1.57,40.408
选金,DIC中国传统色,62.415,0.568,27.555
百草霜,DIC中国传统色,24.101,0.658,-0.469
铁灰,DIC中国传统色,36.628,-1.224,-3.707
深灰,DIC中国传统色,40.832,-3.245,-1.758
银白,DIC中国传统色,90.485,0.186,8.287
芦灰,DIC中国传统色,70.205,-8.16,18.431
暗灰,DIC中国传统色,50.464,-3.56,-0.608
红莲灰,DIC中国传统色,51.828,36.324,1.076
红灰莲,DIC中国传统色,61.108,16.701,2.305
浅棕灰,DIC中国传统色,86.02,-1.126,11.221
肉棕灰,DIC中国传统色,66.655,5.365,14.759
葡萄灰,DIC中国传统色,35.993,11.915,-0.633
乳白,DIC中国传统色,89.47,-0.723,18.887
铅灰,DIC中国传统色,79.31,-5.129,5.554
石板灰,DIC中国传统色,52.554,-2.299,-5.71
橄榄灰,DIC中国传统色,62.003,-8.686,7.118
银鼠灰,DIC中国传统色,54.859,1.115,-5.091
鹊灰,DIC中国传统色,41.969,-0.763,-8.605
深瓦灰,DIC中国传统色,47.307,-0.887,-5.324
苔灰,DIC中国传统色,46.167,-5.666,3.713
云灰,DIC中国传统色,79.733,-5.811,-0.868
鸽灰,DIC中国传统色,72.425,-5.581,-3.639
蓝灰色,DIC中国传统色,68.304,-6.122,-1.509
水貂灰,DIC中国传统色,62.913,-3.705,3.446
灯草灰,DIC中国传统色,26.557,-0.422,-0.148
粗晶皂,DIC中国传统色,32.479,1.118,-2.954
红皂,DIC中国传统色,40.409,0.637,-1.709
雪灰,DIC中国传统色,85.391,-0.524,-4.638
正灰,DIC中国传统色,66.812,-2.176,-3.685
油烟墨,DIC中国传统色,31.397,-0.433,1.192
银箔,DIC中国传统色,64.916,-1.82,7.573
砖褐,故宫里的色彩美学_郭浩,37.763,13.508,20.127
鹰背褐,故宫里的色彩美学_郭浩,49.012,11.42,13.034
银褐,故宫里的色彩美学_郭浩,60.324,8.207,-5.367
流黄,故宫里的色彩美学_郭浩,48.849,4.524,29.434
龙战,故宫里的色彩美学_郭浩,30.778,7.969,25.081
青骊,故宫里的色彩美学_郭浩,18.114,12.072,15.064
黄埃,故宫里的色彩美学_郭浩,62.928,8.34,21.266
老僧衣,故宫里的色彩美学_郭浩,48.319,23.694,28.308
玄天,故宫里的色彩美学_郭浩,38.148,10.229,1.312
缊韨,故宫里的色彩美学_郭浩,41.986,27.856,31.045
紫瓯,故宫里的色彩美学_郭浩,35.519,19.646,33.114
夏籥,故宫里的色彩美学_郭浩,74.06,9.967,13.977
紫磨金,故宫里的色彩美学_郭浩,59.878,18.994,21.775
檀色,故宫里的色彩美学_郭浩,53.162,25.653,20.547
赭罗,故宫里的色彩美学_郭浩,48.298,18.846,18.161
露褐,故宫里的色彩美学_郭浩,59.353,17.636,34.391
檀褐,故宫里的色彩美学_郭浩,43.078,22.486,29.93
緅絺,故宫里的色彩美学_郭浩,37.764,18.955,26.91
目童子,故宫里的色彩美学_郭浩,25.628,16.785,18.115
地籁,故宫里的色彩美学_郭浩,83.509,1.757,15.081
大块,故宫里的色彩美学_郭浩,69.702,3.201,22.38
养生主,故宫里的色彩美学_郭浩,65.498,4.95,18.115
大云,故宫里的色彩美学_郭浩,52.168,5.247,26.576
石莲褐,故宫里的色彩美学_郭浩,57.495,0.878,8.719
仙米,故宫里的色彩美学_郭浩,81.112,-1.189,16.892
黄螺,故宫里的色彩美学_郭浩,67.486,-0.208,24.113
降真香,故宫里的色彩美学_郭浩,56.295,4.322,27.082
远志,故宫里的色彩美学_郭浩,44.923,5.148,28.243
黄流,故宫里的色彩美学_郭浩,46.823,20.785,41.872
筠雾,故宫里的色彩美学_郭浩,83.339,-4.378,17.896
瓷秘,故宫里的色彩美学_郭浩,76.666,-7.313,21.123
琬琰,故宫里的色彩美学_郭浩,68.14,-5.427,17.75
青圭,故宫里的色彩美学_郭浩,58.834,-7.395,27.405
天球,故宫里的色彩美学_郭浩,88.305,-3.893,12.388
行香子,故宫里的色彩美学_郭浩,74.935,-2.741,15.502
王刍,故宫里的色彩美学_郭浩,65.28,-3.655,25.889
荩箧,故宫里的色彩美学_郭浩,52.318,-2.897,24.836
石蜜,故宫里的色彩美学_郭浩,77.914,-0.374,29.989
沙饧,故宫里的色彩美学_郭浩,69.126,1.572,31.308
巨吕,故宫里的色彩美学_郭浩,60.44,3.426,32.077
吉金,故宫里的色彩美学_郭浩,47.894,5.881,25.381
绞衣,故宫里的色彩美学_郭浩,49.2,-2.571,24.025
素綦,故宫里的色彩美学_郭浩,35.102,-2.887,19.631
蒸栗,故宫里的色彩美学_郭浩,58.978,4.167,26.831
射干,故宫里的色彩美学_郭浩,43.33,5.641,23.852
油葫芦,故宫里的色彩美学_郭浩,34.476,5.71,20.268
蜜褐,故宫里的色彩美学_郭浩,28.934,21.767,12.469
沉香,故宫里的色彩美学_郭浩,55.374,6.453,14.444
黄琮,故宫里的色彩美学_郭浩,59.055,1.612,20.132
伽罗,故宫里的色彩美学_郭浩,39.987,2.166,20.396
苍艾,故宫里的色彩美学_郭浩,32.967,3.606,11.898
藕丝褐,故宫里的色彩美学_郭浩,59.346,12.558,4.771
葡萄褐,故宫里的色彩美学_郭浩,50.071,21.803,6.48
苏方,故宫里的色彩美学_郭浩,37.292,25.316,7.965
福色,故宫里的色彩美学_郭浩,26.036,26.958,10.46
明茶褐,故宫里的色彩美学_郭浩,56.587,6.266,18.476
荆褐,故宫里的色彩美学_郭浩,48.448,9.873,24.535
驼褐,故宫里的色彩美学_郭浩,41.4,9.695,21.962
椒褐,故宫里的色彩美学_郭浩,34.273,18.019,14.793
濯绛,故宫里的色彩美学_郭浩,45.374,5.34,6.994
丁香褐,故宫里的色彩美学_郭浩,65.178,11.826,15.584
棠梨褐,故宫里的色彩美学_郭浩,44.371,21.685,24.056
朱石栗,故宫里的色彩美学_郭浩,37.143,21.009,27.363
枣褐,故宫里的色彩美学_郭浩,28.529,19.772,26.896
绿豆褐,故宫里的色彩美学_郭浩,57.138,-1.637,17.341
冥色,故宫里的色彩美学_郭浩,40.484,-0.461,11.332
珠子褐,故宫里的色彩美学_郭浩,70.447,6.167,8.602
麝香褐,故宫里的色彩美学_郭浩,34.726,10.573,13.952
肉红,故宫里的色彩美学_郭浩,81.163,6.353,9.602
银红,故宫里的色彩美学_郭浩,83.932,11.649,-0.718
银朱,故宫里的色彩美学_郭浩,45.975,62.972,47.335
莲红,故宫里的色彩美学_郭浩,71.657,23.966,-1.472
小红,故宫里的色彩美学_郭浩,62.426,41.089,31.158
烟红,故宫里的色彩美学_郭浩,57.968,10.868,-1.958
水红,故宫里的色彩美学_郭浩,77.719,24.344,-0.05
退红,故宫里的色彩美学_郭浩,86.354,14.846,-5.577
海天霞,故宫里的色彩美学_郭浩,75.12,26.273,20.86
缙云,故宫里的色彩美学_郭浩,63.818,42.466,38.072
纁黄,故宫里的色彩美学_郭浩,47.876,41.226,30.773
珊瑚赫,故宫里的色彩美学_郭浩,43.125,57.374,44.101
赤缇,故宫里的色彩美学_郭浩,49.984,36.778,28.195
朱草,故宫里的色彩美学_郭浩,41.284,41.421,27.849
綪茷,故宫里的色彩美学_郭浩,36.067,47.085,33.252
顺圣,故宫里的色彩美学_郭浩,26.949,41.885,23.68
桃夭,故宫里的色彩美学_郭浩,82.159,21.545,2.754
杨妃,故宫里的色彩美学_郭浩,70.398,37.598,7.578
长春,故宫里的色彩美学_郭浩,59.294,46.381,8.42
牙绯,故宫里的色彩美学_郭浩,51.894,41.274,19.255
黄丹,故宫里的色彩美学_郭浩,56.133,55.183,61.771
洛神珠,故宫里的色彩美学_郭浩,47.878,58.187,52.528
丹雘,故宫里的色彩美学_郭浩,42.682,64.538,45.256
水华朱,故宫里的色彩美学_郭浩,36.829,53.072,32.261
魏红,故宫里的色彩美学_郭浩,41.072,49.912,-2.133
朱颜酡,故宫里的色彩美学_郭浩,71.759,29.213,32.57
苕荣,故宫里的色彩美学_郭浩,61.032,46.495,49.415
檎丹,故宫里的色彩美学_郭浩,54.158,60.446,52.046
丹罽,故宫里的色彩美学_郭浩,48.099,74.232,56.84
彤管,故宫里的色彩美学_郭浩,72.886,25.106,4.297
渥赭,故宫里的色彩美学_郭浩,59.271,46.0,12.466
唇脂,故宫里的色彩美学_郭浩,49.74,46.55,14.512
朱孔阳,故宫里的色彩美学_郭浩,39.898,60.281,27.572
赩炽,故宫里的色彩美学_郭浩,50.784,46.871,36.036
石榴裙,故宫里的色彩美学_郭浩,42.27,47.175,34.159
朱湛,故宫里的色彩美学_郭浩,35.405,42.143,24.859
大繎,故宫里的色彩美学_郭浩,29.653,40.625,21.417
骍刚,故宫里的色彩美学_郭浩,77.41,20.387,30.962
赪霞,故宫里的色彩美学_郭浩,68.892,32.845,40.628
赪尾,故宫里的色彩美学_郭浩,66.25,37.544,38.929
朱柿,故宫里的色彩美学_郭浩,61.124,46.901,44.955
赤灵,故宫里的色彩美学_郭浩,38.174,33.951,33.891
丹秫,故宫里的色彩美学_郭浩,33.427,34.535,27.965
木兰,故宫里的色彩美学_郭浩,25.72,25.594,20.544
麒麟竭,故宫里的色彩美学_郭浩,18.099,21.427,13.361
夕岚,故宫里的色彩美学_郭浩,75.899,21.496,1.547
雌霓,故宫里的色彩美学_郭浩,66.744,24.736,2.94
绛纱,故宫里的色彩美学_郭浩,56.08,23.137,9.479
茹藘,故宫里的色彩美学_郭浩,48.149,28.365,8.613
苍烟落照,故宫里的色彩美学_郭浩,75.191,6.429,3.48
佛赤,故宫里的色彩美学_郭浩,36.67,33.545,27.335
胭脂虫,故宫里的色彩美学_郭浩,37.216,55.203,35.258
朱樱,故宫里的色彩美学_郭浩,31.43,46.791,27.322
爵头,故宫里的色彩美学_郭浩,20.612,35.671,20.208
十样锦,故宫里的色彩美学_郭浩,83.801,15.359,15.283
檀唇,故宫里的色彩美学_郭浩,70.355,19.991,18.237
琼琚,故宫里的色彩美学_郭浩,62.159,31.497,28.193
棠梨,故宫里的色彩美学_郭浩,48.345,33.336,29.311
岱赭,故宫里的色彩美学_郭浩,58.468,42.419,36.444
鹤顶红,故宫里的色彩美学_郭浩,50.061,53.7,40.506
朱殷,故宫里的色彩美学_郭浩,43.483,50.011,40.3
粉米,故宫里的色彩美学_郭浩,83.067,16.815,0.776
縓缘,故宫里的色彩美学_郭浩,64.005,28.11,5.743
美人祭,故宫里的色彩美学_郭浩,52.175,42.503,11.943
鞓红,故宫里的色彩美学_郭浩,44.373,44.692,15.178
紫梅,故宫里的色彩美学_郭浩,58.395,27.843,0.779
紫矿,故宫里的色彩美学_郭浩,43.348,33.988,10.864
咸池,故宫里的色彩美学_郭浩,73.642,17.949,6.928
红䵂,故宫里的色彩美学_郭浩,58.47,35.148,16.215
蚩尤旗,故宫里的色彩美学_郭浩,46.989,32.679,14.909
霁红,故宫里的色彩美学_郭浩,35.794,24.64,7.644
杏黄,故宫里的色彩美学_郭浩,57.787,23.38,60.275
如梦令,故宫里的色彩美学_郭浩,78.002,7.242,21.765
扶光,故宫里的色彩美学_郭浩,81.686,11.988,22.318
椒房,故宫里的色彩美学_郭浩,69.218,16.887,41.456
红友,故宫里的色彩美学_郭浩,63.918,24.722,51.612
光明砂,故宫里的色彩美学_郭浩,52.701,40.789,52.837
媚蝶,故宫里的色彩美学_郭浩,54.156,26.314,42.949
韎韐,故宫里的色彩美学_郭浩,43.533,28.337,41.433
秋香色,故宫里的色彩美学_郭浩,65.98,3.243,48.792
姜黄,故宫里的色彩美学_郭浩,79.085,-6.729,52.038
栀子黄,故宫里的色彩美学_郭浩,80.941,8.962,69.767
苍黄,故宫里的色彩美学_郭浩,65.857,-5.03,66.057
雌黄,故宫里的色彩美学_郭浩,59.752,9.963,37.829
密陀僧,故宫里的色彩美学_郭浩,59.676,-9.729,38.054
黄白游,故宫里的色彩美学_郭浩,96.031,-10.313,46.092
松花,故宫里的色彩美学_郭浩,93.259,-9.55,62.37
缃叶,故宫里的色彩美学_郭浩,84.757,-6.188,65.005
苍黄,故宫里的色彩美学_郭浩,65.857,-5.03,66.057
黄河琉璃,故宫里的色彩美学_郭浩,73.007,13.381,55.311
库金,故宫里的色彩美学_郭浩,65.361,26.89,54.33
黄栗留,故宫里的色彩美学_郭浩,88.481,-2.085,64.432
黄不老,故宫里的色彩美学_郭浩,68.573,14.958,60.205
嫩鹅黄,故宫里的色彩美学_郭浩,82.469,3.821,53.329
鞠衣,故宫里的色彩美学_郭浩,69.447,7.87,59.572
郁金裙,故宫里的色彩美学_郭浩,62.271,21.631,53.17
芸黄,故宫里的色彩美学_郭浩,70.163,10.604,35.129
金埒,故宫里的色彩美学_郭浩,64.013,8.471,38.021
葱青,故宫里的色彩美学_郭浩,93.669,-9.956,25.714
少艾,故宫里的色彩美学_郭浩,90.787,-15.179,39.427
绮钱,故宫里的色彩美学_郭浩,86.344,-14.548,40.521
翠樽,故宫里的色彩美学_郭浩,81.715,-14.994,46.873
桑蕾,故宫里的色彩美学_郭浩,86.474,-2.721,32.864
太一余粮,故宫里的色彩美学_郭浩,74.549,1.398,48.643
老茯神,故宫里的色彩美学_郭浩,57.627,5.485,47.453
凝脂,故宫里的色彩美学_郭浩,98.0,-5.588,8.298
黄润,故宫里的色彩美学_郭浩,85.626,-1.796,15.945
缣缃,故宫里的色彩美学_郭浩,80.735,-1.725,21.687
藕丝秋半,故宫里的色彩美学_郭浩,82.159,1.72,3.973
黄粱,故宫里的色彩美学_郭浩,74.743,-0.384,17.457
栾华,故宫里的色彩美学_郭浩,70.804,-3.555,42.74
大赤,故宫里的色彩美学_郭浩,62.373,-2.422,42.707
九斤黄,故宫里的色彩美学_郭浩,74.687,9.305,34.841
杏子,故宫里的色彩美学_郭浩,66.295,19.329,58.374
弗肯红,故宫里的色彩美学_郭浩,87.768,3.641,11.231
赤璋,故宫里的色彩美学_郭浩,79.869,5.619,24.377
茧色,故宫里的色彩美学_郭浩,68.641,5.788,35.053
蜜合,故宫里的色彩美学_郭浩,86.099,-0.768,11.344
假山南,故宫里的色彩美学_郭浩,78.979,2.422,16.042
紫花布,故宫里的色彩美学_郭浩,69.789,4.021,17.572
半见,故宫里的色彩美学_郭浩,97.785,-6.761,25.473
女贞黄,故宫里的色彩美学_郭浩,93.425,-6.612,32.634
绢纨,故宫里的色彩美学_郭浩,88.568,-6.811,39.191
米汤娇,故宫里的色彩美学_郭浩,92.589,-1.535,8.73
玄校,故宫里的色彩美学_郭浩,65.896,-1.71,16.849
綟绶,故宫里的色彩美学_郭浩,45.655,-1.893,19.773
莺儿,故宫里的色彩美学_郭浩,89.101,-5.069,28.694
禹余粮,故宫里的色彩美学_郭浩,83.696,-6.724,45.764
姚黄,故宫里的色彩美学_郭浩,76.501,-3.823,60.715
蛾黄,故宫里的色彩美学_郭浩,61.073,11.364,53.823
酂白,故宫里的色彩美学_郭浩,97.206,-4.57,9.737
断肠,故宫里的色彩美学_郭浩,92.196,-6.311,20.073
田赤,故宫里的色彩美学_郭浩,84.103,-6.136,40.811
黄封,故宫里的色彩美学_郭浩,73.294,-0.115,35.821
骨缥,故宫里的色彩美学_郭浩,90.195,-1.862,14.661
青白玉,故宫里的色彩美学_郭浩,79.057,-4.312,19.23
玉色,故宫里的色彩美学_郭浩,90.589,-1.162,9.994
石绿,故宫里的色彩美学_郭浩,39.793,-22.789,-4.238
官绿,故宫里的色彩美学_郭浩,41.22,-32.872,19.984
油绿,故宫里的色彩美学_郭浩,45.747,-13.012,11.349
茶色,故宫里的色彩美学_郭浩,50.546,2.156,19.672
欧碧,故宫里的色彩美学_郭浩,82.63,-18.276,29.743
春辰,故宫里的色彩美学_郭浩,73.992,-18.426,31.515
碧山,故宫里的色彩美学_郭浩,58.241,-24.02,36.804
苍葭,故宫里的色彩美学_郭浩,74.552,-16.443,21.688
庭芜绿,故宫里的色彩美学_郭浩,56.973,-26.189,24.947
翠微,故宫里的色彩美学_郭浩,48.765,-29.916,26.631
翠虬,故宫里的色彩美学_郭浩,40.917,-24.152,24.379
青粲,故宫里的色彩美学_郭浩,82.795,-25.759,63.568
翠缥,故宫里的色彩美学_郭浩,80.116,-29.27,70.604
人籁,故宫里的色彩美学_郭浩,71.762,-29.51,69.043
水龙吟,故宫里的色彩美学_郭浩,63.92,-29.619,57.069
石发,故宫里的色彩美学_郭浩,54.786,-23.445,27.583
漆姑,故宫里的色彩美学_郭浩,50.866,-23.435,22.889
芰荷,故宫里的色彩美学_郭浩,46.752,-24.644,21.273
风入松,故宫里的色彩美学_郭浩,56.461,-12.066,32.277
山岚,故宫里的色彩美学_郭浩,82.178,-10.993,9.127
渌波,故宫里的色彩美学_郭浩,70.741,-14.337,12.476
青楸,故宫里的色彩美学_郭浩,63.688,-18.717,14.432
菉竹,故宫里的色彩美学_郭浩,55.471,-20.405,15.124
麹尘,故宫里的色彩美学_郭浩,81.155,-14.128,23.583
绿沈,故宫里的色彩美学_郭浩,58.387,-8.334,35.942
余白,故宫里的色彩美学_郭浩,82.321,-4.572,6.243
兰苕,故宫里的色彩美学_郭浩,72.285,-12.797,20.189
碧滋,故宫里的色彩美学_郭浩,63.796,-12.155,16.402
葱倩,故宫里的色彩美学_郭浩,52.749,-19.353,26.082
醽醁,故宫里的色彩美学_郭浩,73.803,-8.621,2.228
翠涛,故宫里的色彩美学_郭浩,62.282,-12.883,4.612
青梅,故宫里的色彩美学_郭浩,55.513,-10.725,7.898
翕赩,故宫里的色彩美学_郭浩,47.534,-11.066,3.831
雀梅,故宫里的色彩美学_郭浩,55.398,-11.834,12.33
莓莓,故宫里的色彩美学_郭浩,40.237,-14.802,13.697
螺青,故宫里的色彩美学_郭浩,32.055,-11.335,10.253
月白,故宫里的色彩美学_郭浩,89.983,-3.689,-6.784
群青,故宫里的色彩美学_郭浩,38.75,12.531,-46.373
天缥,故宫里的色彩美学_郭浩,91.233,-9.101,2.377
沧浪,故宫里的色彩美学_郭浩,82.435,-14.438,2.471
苍筤,故宫里的色彩美学_郭浩,73.361,-15.019,4.203
缥碧,故宫里的色彩美学_郭浩,64.334,-16.112,5.317
青青,故宫里的色彩美学_郭浩,43.467,-20.172,19.233
青雘,故宫里的色彩美学_郭浩,42.904,-25.036,-9.955
青緺,故宫里的色彩美学_郭浩,28.629,-8.649,-9.629
白青,故宫里的色彩美学_郭浩,72.245,-7.519,-9.465
空青,故宫里的色彩美学_郭浩,54.97,-6.28,-15.528
太师青,故宫里的色彩美学_郭浩,47.812,-6.978,-14.223
西子,故宫里的色彩美学_郭浩,74.261,-15.937,-10.926
云门,故宫里的色彩美学_郭浩,81.436,-11.911,-12.967
天水碧,故宫里的色彩美学_郭浩,63.159,-20.295,-12.323
法翠,故宫里的色彩美学_郭浩,52.703,-26.239,-14.616
千山翠,故宫里的色彩美学_郭浩,50.723,-8.727,3.237
结绿,故宫里的色彩美学_郭浩,38.987,-7.625,9.021
绿云,故宫里的色彩美学_郭浩,30.321,-4.188,6.638
鱼师青,故宫里的色彩美学_郭浩,46.902,-16.066,-16.344
软翠,故宫里的色彩美学_郭浩,42.285,-16.452,-21.726
繱犗,故宫里的色彩美学_郭浩,73.516,-19.344,-2.229
二绿,故宫里的色彩美学_郭浩,62.469,-23.543,-3.792
铜青,故宫里的色彩美学_郭浩,54.088,-26.611,-3.189
井天,故宫里的色彩美学_郭浩,78.476,-11.576,-5.566
正青,故宫里的色彩美学_郭浩,65.19,-17.571,-9.757
扁青,故宫里的色彩美学_郭浩,56.549,-19.897,-8.664
䌦色,故宫里的色彩美学_郭浩,40.983,-22.77,-4.906
孔雀蓝,故宫里的色彩美学_郭浩,58.583,-8.563,-31.76
竹月色,故宫里的色彩美学_郭浩,63.674,-7.257,-11.916
青鸾,故宫里的色彩美学_郭浩,67.785,-2.49,-6.706
菘蓝,故宫里的色彩美学_郭浩,50.397,-0.226,-13.111
青黛,故宫里的色彩美学_郭浩,30.529,5.621,-14.267
绀蝶,故宫里的色彩美学_郭浩,19.574,1.898,-8.037
青冥,故宫里的色彩美学_郭浩,46.369,0.513,-38.348
骐驎,故宫里的色彩美学_郭浩,15.897,8.244,-27.615
碧落,故宫里的色彩美学_郭浩,81.991,-4.611,-18.46
挼蓝,故宫里的色彩美学_郭浩,62.327,-4.032,-26.393
青雀头黛,故宫里的色彩美学_郭浩,32.407,-0.619,-19.717
螺子黛,故宫里的色彩美学_郭浩,21.625,-11.504,-7.121
曾青,故宫里的色彩美学_郭浩,35.289,5.202,-10.701
䒌靘,故宫里的色彩美学_郭浩,30.319,4.261,-11.381
璆琳,故宫里的色彩美学_郭浩,20.926,6.02,-10.006
瑾瑜,故宫里的色彩美学_郭浩,15.261,-0.578,-8.445
柔蓝,故宫里的色彩美学_郭浩,41.652,-6.106,-32.874
碧城,故宫里的色彩美学_郭浩,32.47,-2.459,-29.723
蓝采和,故宫里的色彩美学_郭浩,27.297,0.099,-30.4
帝释青,故宫里的色彩美学_郭浩,21.208,3.37,-30.456
窃蓝,故宫里的色彩美学_郭浩,69.054,-0.328,-27.561
监德,故宫里的色彩美学_郭浩,60.751,2.507,-33.31
苍苍,故宫里的色彩美学_郭浩,50.245,9.147,-39.064
吐绶蓝,故宫里的色彩美学_郭浩,51.574,-10.323,-24.357
东方既白,故宫里的色彩美学_郭浩,66.371,0.064,-21.161
绀宇,故宫里的色彩美学_郭浩,25.557,5.947,-36.367
佛头青,故宫里的色彩美学_郭浩,21.259,7.415,-29.675
花青,故宫里的色彩美学_郭浩,16.464,5.145,-21.222
星郎,故宫里的色彩美学_郭浩,83.729,-4.063,-12.034
晴山,故宫里的色彩美学_郭浩,75.102,-1.094,-18.728
品月,故宫里的色彩美学_郭浩,68.669,-3.392,-20.434
暮山紫,故宫里的色彩美学_郭浩,70.783,6.796,-22.555
紫苑,故宫里的色彩美学_郭浩,53.797,13.017,-33.929
优昙瑞,故宫里的色彩美学_郭浩,43.32,20.376,-39.488
延维,故宫里的色彩美学_郭浩,35.833,23.336,-44.992
秋蓝,故宫里的色彩美学_郭浩,59.361,-4.505,-9.342
育阳染,故宫里的色彩美学_郭浩,41.705,-2.064,-8.416
霁蓝,故宫里的色彩美学_郭浩,29.364,-0.359,-9.682
獭见,故宫里的色彩美学_郭浩,10.544,0.33,-9.264
木槿紫,故宫里的色彩美学_郭浩,59.242,34.142,-19.258
盈盈,故宫里的色彩美学_郭浩,88.101,15.828,-2.915
昌荣,故宫里的色彩美学_郭浩,82.646,11.963,-10.197
苏梅,故宫里的色彩美学_郭浩,62.058,43.302,2.029
紫茎屏风,故宫里的色彩美学_郭浩,50.205,32.413,-6.281
紫蒲,故宫里的色彩美学_郭浩,48.31,43.416,-24.621
赪紫,故宫里的色彩美学_郭浩,32.522,54.663,-24.45
齐紫,故宫里的色彩美学_郭浩,27.793,43.185,-27.798
凝夜紫,故宫里的色彩美学_郭浩,19.941,25.941,-25.602
香炉紫烟,故宫里的色彩美学_郭浩,82.855,4.227,-4.092
紫菂,故宫里的色彩美学_郭浩,60.939,10.118,-12.426
拂紫绵,故宫里的色彩美学_郭浩,41.221,26.246,-17.946
三公子,故宫里的色彩美学_郭浩,32.752,28.242,-24.497
琅玕紫,故宫里的色彩美学_郭浩,54.019,48.024,-0.088
红踯躅,故宫里的色彩美学_郭浩,44.103,56.819,-3.536
紫薄汗,故宫里的色彩美学_郭浩,69.73,17.311,-17.926
魏紫,故宫里的色彩美学_郭浩,36.562,40.414,2.17
茈藐,故宫里的色彩美学_郭浩,58.46,25.916,-24.072
紫紶,故宫里的色彩美学_郭浩,41.313,26.947,-20.862
樱花,故宫里的色彩美学_郭浩,79.375,20.531,-8.54
丁香,故宫里的色彩美学_郭浩,67.838,29.165,-13.939
红藤杖,故宫里的色彩美学_郭浩,55.646,7.549,-0.864
紫鼠,故宫里的色彩美学_郭浩,33.943,7.658,-4.461
龙膏烛,故宫里的色彩美学_郭浩,65.191,39.978,-4.199
黪紫,故宫里的色彩美学_郭浩,59.562,40.626,-8.803
胭脂水,故宫里的色彩美学_郭浩,51.193,43.781,-8.118
胭脂紫,故宫里的色彩美学_郭浩,44.794,48.55,-2.058
紫府,故宫里的色彩美学_郭浩,47.151,29.504,-8.637
地血,故宫里的色彩美学_郭浩,37.717,29.005,-5.26
芥拾紫,故宫里的色彩美学_郭浩,24.498,29.608,-4.02
油紫,故宫里的色彩美学_郭浩,13.249,29.798,-8.929
石英,故宫里的色彩美学_郭浩,75.652,7.268,-0.206
紫诰,故宫里的色彩美学_郭浩,39.814,15.009,0.783
金黄,故宫里的色彩美学_郭浩,53.226,20.758,39.474
葭灰,故宫里的色彩美学_郭浩,73.085,3.423,5.245
皦玉,故宫里的色彩美学_郭浩,93.727,-2.06,2.548
吉量,故宫里的色彩美学_郭浩,93.258,-3.098,6.544
韶粉,故宫里的色彩美学_郭浩,88.787,-2.772,7.834
霜地,故宫里的色彩美学_郭浩,79.561,-2.467,8.141
冻缥,故宫里的色彩美学_郭浩,77.748,-4.091,7.063
春碧,故宫里的色彩美学_郭浩,64.075,-4.754,14.165
执大象,故宫里的色彩美学_郭浩,59.528,-4.63,13.842
苔古,故宫里的色彩美学_郭浩,53.363,-8.132,11.214
溶溶月,故宫里的色彩美学_郭浩,77.97,-2.489,2.529
绍衣,故宫里的色彩美学_郭浩,66.684,1.621,3.501
黑朱,故宫里的色彩美学_郭浩,44.714,0.518,7.739
鸣珂,故宫里的色彩美学_郭浩,72.913,-5.103,12.521
青玉案,故宫里的色彩美学_郭浩,70.491,-8.178,14.444
出岫,故宫里的色彩美学_郭浩,67.51,-7.558,27.221
月魄,故宫里的色彩美学_郭浩,73.739,-1.397,-0.489
不皂,故宫里的色彩美学_郭浩,69.139,-2.744,4.263
雷雨垂,故宫里的色彩美学_郭浩,51.45,-0.974,1.505
石涅,故宫里的色彩美学_郭浩,44.562,-1.389,1.411
山矾,故宫里的色彩美学_郭浩,95.965,0.49,0.716
玉頩,故宫里的色彩美学_郭浩,91.269,1.336,1.57
二目鱼,故宫里的色彩美学_郭浩,88.927,-1.578,3.303
明月珰,故宫里的色彩美学_郭浩,84.406,-1.252,4.571
缟羽,故宫里的色彩美学_郭浩,94.447,0.0,0.0
香皮,故宫里的色彩美学_郭浩,84.086,0.344,6.804
云母,故宫里的色彩美学_郭浩,77.285,0.557,7.562
佩玖,故宫里的色彩美学_郭浩,66.061,1.221,12.683
蕉月,故宫里的色彩美学_郭浩,58.835,-4.826,1.938
卵色,故宫里的色彩美学_郭浩,88.846,-7.395,5.716
葭菼,故宫里的色彩美学_郭浩,84.581,-7.658,7.377
冰台,故宫里的色彩美学_郭浩,79.958,-7.573,8.083
青古,故宫里的色彩美学_郭浩,75.354,-7.128,8.929
浅云,故宫里的色彩美学_郭浩,93.88,-0.787,-1.912
素采,故宫里的色彩美学_郭浩,87.556,-2.269,-3.005
影青,故宫里的色彩美学_郭浩,80.84,-3.37,-5.109
逍遥游,故宫里的色彩美学_郭浩,76.476,-3.669,-3.547
甘石,故宫里的色彩美学_郭浩,73.464,3.909,1.404
迷楼灰,故宫里的色彩美学_郭浩,56.056,8.127,-4.903
鸦雏,故宫里的色彩美学_郭浩,40.655,9.691,-7.986
烟墨,故宫里的色彩美学_郭浩,34.846,5.756,-1.849
草白,故宫里的色彩美学_郭浩,77.329,-4.895,11.863
墨黪,故宫里的色彩美学_郭浩,35.157,0.53,6.759
驖骊,故宫里的色彩美学_郭浩,28.465,-0.37,5.314
京元,故宫里的色彩美学_郭浩,20.503,-1.789,3.671
